Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Hidden,Default,CalReg
FLASH_CNT,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
SUPPLY_OUT,0,2,2,0,0.00122,14,TRUE,FALSE,FALSE,FALSE,,FALSE
XACCL_OUT,0,4,2,0,0.0004625,14,TRUE,FALSE,TRUE,FALSE,,FALSE
YACCL_OUT,0,6,2,0,0.0004625,14,TRUE,FALSE,TRUE,FALSE,,FALSE
ADC_OUT,0,8,2,0,0.0006105,12,TRUE,FALSE,TRUE,FALSE,,FALSE
TEMP_OUT,0,10,2,625.57,-0.47,12,TRUE,FALSE,FALSE,FALSE,,FALSE
XINCL_OUT,0,12,2,0,0.1,12,TRUE,FALSE,TRUE,FALSE,,FALSE
YINCL_OUT,0,14,2,0,0.1,12,TRUE,FALSE,TRUE,FALSE,,FALSE
XACCL_OFF,0,16,2,0,0.0004625,12,TRUE,TRUE,TRUE,FALSE,0,TRUE
YACCL_OFF,0,18,2,0,0.0004625,12,TRUE,TRUE,TRUE,FALSE,0,TRUE
XACCL_SCALE,0,20,2,0,0.000488,12,TRUE,TRUE,TRUE,FALSE,0,TRUE
YACCL_SCALE,0,22,2,0,0.000488,12,TRUE,TRUE,TRUE,FALSE,0,TRUE
XINCL_OFF,0,24,2,0,0.1,9,TRUE,TRUE,TRUE,FALSE,0,TRUE
YINCL_OFF,0,26,2,0,0.1,9,TRUE,TRUE,TRUE,FALSE,0,TRUE
XINCL_SCALE,0,28,2,0,0.000488,12,TRUE,TRUE,TRUE,FALSE,0,TRUE
YINCL_SCALE,0,30,2,0,0.000488,12,TRUE,TRUE,FALSE,FALSE,0,TRUE
ALM_MAG1,0,32,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
ALM_MAG2,0,34,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
ALM_SMPL1,0,36,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
ALM_SMPL2,0,38,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
ALM_CTRL,0,40,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
AUX_DAC,0,48,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
GPIO_CTRL,0,50,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
MSC_CTRL,0,52,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
SMPL_PRD,0,54,2,0,1,16,TRUE,TRUE,FALSE,FALSE,10,FALSE
AVG_CNT,0,56,2,0,1,16,TRUE,TRUE,FALSE,FALSE,6,FALSE
SLP_CNT,0,58,2,0,1,16,FALSE,TRUE,FALSE,FALSE,0,FALSE
DIAG_STAT,0,60,2,0,1,16,TRUE,FALSE,FALSE,FALSE,0,FALSE
GLOB_CMD,0,62,2,0,1,16,FALSE,TRUE,FALSE,FALSE,,FALSE
DIAG_STAT,0,60,2,0,1,16,TRUE,FALSE,FALSE,FALSE,0,FALSE
